id,ram,cpu
0,26,1
1,33,35
2,7,55
3,61,13
4,3,33
5,68,43
6,13,42
7,13,62
8,16,56
9,55,52
10,35,22
11,71,40
12,56,11
13,25,14
14,38,45
15,27,3
16,6,22
17,32,60
18,46,35
19,36,10
20,35,14
21,39,52
22,10,49
23,5,5
24,71,32
25,35,15
26,12,64
27,4,34
28,26,37
29,59,61
30,17,45
31,61,25
32,9,28
33,49,55
34,7,21
35,15,57
36,52,64
37,51,50
38,13,67
39,65,23
40,24,37
41,69,0
42,23,30
43,2,56
44,17,37
45,47,54
46,52,45
47,19,18
48,23,47
49,46,18
50,39,37
51,47,38
52,28,30
53,60,48
54,42,59
55,21,19
56,14,54
57,20,47
58,45,62
59,53,17
60,23,20
61,0,14
62,45,32
63,55,63
64,49,41
65,16,44
66,3,12
67,56,63
68,2,7
69,51,35
70,26,68
71,11,31
72,47,41
73,40,24
74,18,27
75,7,28
76,60,30
77,53,4
78,69,66
79,65,47
80,52,26
81,53,35
82,46,52
83,70,55
84,71,13
85,68,18
86,27,64
87,21,60
88,55,58
89,47,70
90,34,36
91,11,65
92,40,63
93,62,58
94,18,25
95,38,5
96,32,26
97,70,32
98,25,69
99,43,15
100,62,32
101,2,13
102,68,45
103,26,57
104,18,41
105,29,10
106,31,27
107,26,32
108,68,9
109,54,67
110,8,19
111,21,28
112,35,14
113,29,11
114,1,64
115,27,1
116,26,17
117,33,52
118,58,18
119,12,58
120,48,61
121,31,55
122,8,43
123,16,49
124,23,62
125,0,35
126,11,15
127,45,46
128,57,37
129,52,40
130,0,65
131,50,65
132,67,9
133,13,17
134,23,34
135,71,54
136,41,29
137,21,29
138,61,35
139,53,5
140,42,41
141,53,63
142,37,61
143,24,71
144,30,60
145,11,9
146,25,62
147,13,38
148,49,59
149,6,1
150,7,43
151,10,20
152,10,60
153,41,64
154,7,46
155,0,12
156,43,31
157,9,1
158,57,14
159,22,22
160,25,41
161,7,43
162,14,7
163,41,36
164,36,55
165,58,5
166,24,38
167,69,19
168,38,38
169,71,4
170,57,40
171,61,51
172,33,7
173,65,11
174,40,49
175,9,57
176,13,55
177,48,24
178,22,18
179,40,32
180,61,30
181,5,0
182,48,26
183,54,11
184,21,10
185,54,49
186,47,62
187,52,16
188,37,51
189,55,17
190,21,59
191,56,44
192,55,36
193,27,1
194,30,39
195,25,59
196,30,44
197,58,39
198,50,49
199,22,18
200,13,25
201,48,53
202,14,6
203,56,6
204,68,36
205,70,22
206,38,10
207,11,52
208,63,45
209,9,66
210,70,37
211,12,55
212,45,35
213,15,38
214,32,59
215,41,40
216,28,50
217,34,29
218,55,12
219,0,24
220,56,22
