id,ram,cpu
0,2,103
1,145,33
2,113,97
3,47,83
4,14,28
5,149,100
6,48,51
7,37,158
8,152,3
9,87,16
10,38,116
11,51,115
12,21,90
13,104,44
14,135,88
15,157,144
16,71,7
17,157,92
18,149,118
19,39,4
20,78,89
21,144,107
22,135,83
23,127,110
24,48,41
25,35,134
26,129,97
27,125,100
28,59,50
29,67,153
30,22,92
31,70,142
32,153,77
33,55,44
34,134,148
35,101,121
36,27,73
37,96,135
38,65,3
39,81,39
40,83,112
41,69,133
42,132,38
43,48,134
44,143,9
45,145,38
46,28,81
47,67,80
48,26,50
49,127,15
50,77,18
51,45,76
52,36,73
53,108,44
54,136,124
55,58,68
56,74,41
57,16,129
58,115,101
59,93,35
60,18,0
61,60,77
62,35,115
63,42,93
64,32,102
65,154,91
66,60,13
67,106,157
68,80,31
69,0,42
70,83,143
71,48,119
72,20,62
73,17,55
74,158,127
75,19,91
76,76,115
77,140,112
78,18,112
79,76,136
80,77,141
81,72,24
82,45,9
83,118,32
84,134,111
85,153,39
86,85,44
87,132,141
88,51,84
89,133,31
90,69,89
91,56,95
92,72,110
93,146,87
94,156,25
95,42,159
96,62,12
97,79,138
98,52,127
99,35,34
100,86,62
101,10,65
102,64,68
103,104,56
104,0,74
105,30,159
106,34,11
107,49,154
108,91,153
109,130,32
110,66,153
111,141,135
112,47,78
113,74,137
114,76,125
115,84,126
116,20,128
117,64,156
118,80,48
119,117,153
120,154,44
121,57,31
122,117,43
123,67,56
124,93,69
125,55,96
126,24,125
127,81,71
128,15,64
129,151,49
130,142,19
131,76,69
132,31,42
133,54,137
134,83,60
135,60,13
136,14,56
137,132,111
138,46,84
139,107,40
140,79,6
141,148,109
142,143,63
143,95,32
144,137,39
145,61,43
146,135,118
147,12,57
148,150,117
149,73,158
150,75,161
151,36,85
152,35,82
153,83,125
154,110,58
155,40,134
156,52,89
157,141,81
158,64,81
159,103,16
160,65,46
161,114,64
162,33,80
163,32,18
164,23,95
165,51,157
166,71,111
167,60,114
168,64,9
169,138,42
170,46,27
171,69,57
172,137,89
173,54,152
174,22,61
175,93,144
176,161,105
177,97,111
178,22,51
179,11,84
180,65,130
181,159,153
182,159,8
183,8,39
184,45,79
185,150,135
186,46,117
187,27,128
188,8,46
189,136,40
190,100,89
191,69,155
192,51,24
193,89,90
194,2,107
195,45,38
196,147,31
197,157,16
198,138,91
199,156,10
200,95,147
201,83,38
202,83,31
203,111,136
204,9,92
205,103,45
206,63,139
207,39,7
208,90,102
209,85,54
210,107,34
211,90,115
212,123,64
213,143,48
214,79,40
215,64,85
216,20,102
217,12,48
218,24,118
219,22,109
220,83,149
221,60,159
222,115,30
223,23,93
224,37,45
225,21,59
226,50,140
227,81,145
228,26,67
229,39,91
230,100,29
231,140,128
232,145,65
233,28,64
234,73,57
235,138,22
236,111,69
237,55,42
238,125,115
239,78,96
240,126,147
241,86,108
242,29,95
243,49,79
244,33,12
245,21,33
246,138,99
247,116,70
248,24,115
249,120,99
250,82,8
251,13,104
252,26,128
253,98,150
254,112,6
255,113,119
256,4,117
257,133,53
258,129,61
259,81,76
260,26,134
261,76,86
262,57,56
263,79,153
264,92,101
265,80,15
266,59,131
267,131,24
268,46,131
269,149,152
270,27,40
271,36,124
272,140,104
273,13,124
274,32,46
275,138,4
276,65,47
277,51,1
278,51,136
279,131,65
280,98,55
281,28,137
282,55,144
283,155,42
284,98,121
285,135,109
286,44,102
287,129,50
288,0,128
289,4,59
290,154,12
291,44,75
292,114,134
293,27,27
294,21,3
295,14,87
296,13,84
297,88,79
298,73,106
299,106,137
300,44,48
301,46,120
302,105,129
303,132,30
304,126,133
305,112,53
306,103,78
307,119,110
308,157,72
309,41,136
310,76,131
311,151,12
312,72,113
313,36,97
314,49,24
315,55,83
316,14,130
317,101,109
318,36,118
319,108,51
320,118,3
321,92,41
322,45,28
323,94,132
324,65,18
325,87,4
326,147,152
327,126,6
328,80,149
329,112,49
330,114,4
331,88,9
332,126,127
333,122,65
334,136,76
335,68,39
336,159,21
337,55,86
338,8,58
339,3,3
340,57,58
341,17,6
342,75,161
343,73,130
344,47,66
345,49,80
346,103,88
347,65,138
348,96,143
349,56,90
350,8,150
351,79,6
352,32,91
353,6,132
354,154,98
355,26,151
356,123,12
357,125,154
358,137,7
359,135,127
360,111,116
361,32,41
362,122,58
363,74,18
364,125,6
365,129,134
366,68,158
367,141,38
368,21,83
369,86,117
370,63,112
371,90,124
372,76,91
373,38,84
374,121,117
375,138,100
376,75,139
377,115,92
378,115,146
379,88,117
380,45,149
381,89,30
382,101,93
383,28,121
384,2,82
385,53,38
386,77,37
387,107,5
388,129,156
389,18,39
390,96,97
391,151,5
392,77,127
393,152,98
394,116,114
395,72,41
396,155,19
397,22,14
398,41,9
399,38,36
400,74,98
401,48,108
402,97,87
403,115,148
404,0,68
405,128,26
406,123,13
407,116,25
408,157,27
409,68,36
410,144,98
411,21,56
412,63,40
413,122,154
414,126,153
415,77,5
416,127,84
417,105,7
418,21,8
419,86,119
420,158,95
421,26,38
422,161,74
423,43,92
