id,ram,cpu
0,8,30
1,24,0
2,27,12
3,31,27
4,11,29
5,8,6
6,6,2
7,3,0
8,21,17
9,24,14
10,12,21
11,16,22
12,21,22
13,25,28
14,18,9
15,1,25
16,2,12
17,7,22
18,6,15
19,31,23
20,1,2
21,15,2
22,25,28
23,11,23
24,24,15
25,6,30
26,20,3
27,18,7
28,29,12
29,20,4
30,17,24
31,27,22
32,15,0
33,20,13
34,4,1
35,3,4
36,27,13
37,16,11
38,21,10
39,16,14
40,31,3
41,8,22
42,13,8
43,10,25
44,20,28
45,6,23
46,8,25
47,30,21
48,17,11
49,15,18
50,8,8
51,6,26
52,26,27
53,22,22
54,7,21
55,0,24
56,14,6
57,11,2
58,3,30
59,23,25
60,3,30
61,6,27
62,2,16
63,26,16
64,17,17
65,4,8
66,25,7
67,0,27
68,29,25
69,25,9
70,5,18
71,15,26
72,17,24
73,6,27
74,19,13
75,1,14
76,28,24
77,20,8
78,6,4
79,6,20
80,6,30
81,11,30
82,3,2
83,27,8
84,18,11
85,13,21
86,31,26
87,27,13
88,25,21
89,25,21
90,26,16
91,7,18
92,2,17
93,23,18
94,26,23
95,14,24
96,14,14
97,7,6
98,25,21
99,0,4
100,17,18
101,6,30
102,10,9
103,22,8
104,29,15
105,29,19
106,6,0
107,21,1
108,7,6
109,17,19
110,14,1
111,6,20
112,20,31
113,22,20
114,5,30
115,31,13
116,0,1
117,31,18
118,9,3
119,11,5
120,11,7
121,12,3
122,21,11
123,19,17
124,0,7
125,1,12
126,26,4
127,6,2
128,26,22
129,5,11
130,28,24
131,13,2
132,30,21
133,28,8
134,29,13
135,0,11
136,23,12
137,26,11
138,16,6
139,0,15
140,17,21
141,15,10
142,14,25
143,27,29
144,18,4
145,1,2
146,9,3
147,7,12
148,19,18
149,7,29
150,22,15
151,17,5
152,8,19
153,19,26
154,25,25
155,5,17
156,18,10
157,0,3
158,6,12
159,4,26
160,4,17
161,7,13
162,10,10
163,24,15
164,26,11
165,28,28
166,15,4
167,19,29
168,27,27
169,15,30
170,1,20
171,24,27
172,23,10
173,22,9
174,24,8
175,10,17
176,5,15
177,24,21
178,6,27
179,10,21
180,21,18
181,0,13
182,5,6
183,10,26
184,13,1
185,3,8
186,21,27
187,15,18
188,29,11
189,28,0
190,11,18
191,3,31
192,25,2
193,28,31
194,28,28
195,6,4
196,26,6
197,3,9
198,19,21
199,5,13
200,20,21
201,4,21
202,29,28
203,17,7
204,11,26
205,9,23
206,18,4
207,19,29
208,29,17
209,13,21
210,0,20
211,23,26
212,5,16
213,23,18
214,7,2
215,29,15
216,1,0
217,11,4
218,23,13
219,14,7
220,16,22
221,13,5
222,5,20
223,28,15
224,16,5
225,1,28
226,22,19
227,23,20
228,8,5
229,15,22
230,0,8
231,24,28
232,22,8
233,30,9
234,31,9
235,14,26
236,1,18
237,8,2
238,9,11
239,13,10
240,21,29
241,20,0
242,19,11
243,4,12
244,14,27
245,18,27
246,11,13
247,7,1
248,1,14
249,20,9
250,8,26
251,18,3
252,2,26
253,21,7
254,26,13
255,23,30
256,16,16
257,12,16
258,31,25
259,17,21
260,10,0
261,30,27
262,20,19
263,2,2
264,5,31
265,26,2
266,19,6
267,21,12
268,15,7
269,22,10
270,3,20
271,28,7
272,7,15
273,16,5
274,4,1
275,17,26
276,1,14
277,9,19
278,23,3
279,17,15
280,0,15
281,12,4
282,26,0
283,18,11
284,6,11
285,6,17
286,26,24
287,0,28
288,8,16
289,5,31
290,1,9
291,29,3
292,15,8
293,24,20
294,25,4
295,19,9
296,27,14
297,11,28
298,18,10
299,23,11
300,30,14
301,9,4
302,2,10
303,11,14
304,4,13
305,9,15
306,2,3
307,8,31
308,2,5
309,9,21
310,10,7
311,12,5
312,4,0
313,0,16
314,20,3
315,28,19
316,24,9
317,28,28
318,9,9
319,27,19
320,22,29
321,28,0
322,28,5
323,29,8
324,1,15
325,0,23
326,19,11
327,1,2
328,24,22
329,20,31
330,22,3
331,16,21
332,1,24
333,26,15
334,2,25
335,4,30
336,8,12
337,19,13
338,13,29
339,1,15
340,1,25
341,31,27
342,11,26
343,5,24
344,31,11
345,0,3
346,14,21
347,16,10
348,19,9
349,17,13
350,4,3
351,24,5
352,0,13
353,14,24
354,11,27
355,3,28
356,3,18
357,12,0
358,10,8
359,25,15
360,7,24
361,26,26
362,17,29
363,14,7
364,30,25
365,20,12
366,20,25
367,5,3
368,12,24
369,5,24
370,18,6
371,20,17
372,9,8
373,4,17
374,28,14
375,30,5
376,24,21
377,17,8
378,30,3
379,26,30
380,23,4
381,22,28
382,31,14
383,14,12
384,12,28
385,18,18
386,1,18
387,17,31
388,24,9
389,24,10
390,27,5
391,22,19
392,11,26
393,5,4
394,28,19
395,19,20
396,7,14
397,0,0
398,7,8
399,17,23
400,13,23
401,9,11
402,22,1
403,12,27
404,10,9
405,14,14
406,14,30
407,19,25
408,19,21
409,19,1
410,19,28
411,25,13
412,17,30
413,11,18
414,1,8
415,28,29
416,10,29
417,4,19
418,22,7
419,10,26
420,1,3
421,29,7
422,27,18
423,23,24
424,24,27
425,25,24
426,7,7
427,11,13
428,13,23
429,30,15
430,7,1
431,12,21
432,1,30
433,24,30
434,18,8
435,24,15
436,16,5
437,14,21
438,8,6
439,20,30
440,17,22
441,26,0
442,1,16
443,7,20
444,12,1
445,10,3
446,16,9
447,7,5
