id,ram,cpu
0,2,14
1,2,7
2,17,14
3,5,3
4,11,17
5,17,11
6,6,13
7,7,5
8,3,5
9,5,10
10,2,2
11,14,1
12,4,11
13,10,3
14,9,4
15,7,10
16,8,7
17,1,2
18,9,16
19,17,8
20,17,5
21,16,10
22,3,17
23,5,13
24,16,15
25,4,17
26,3,3
27,10,16
28,16,9
29,4,14
30,2,12
31,16,7
32,16,0
33,13,8
34,17,5
35,7,10
36,2,0
37,16,10
38,11,9
39,1,11
40,12,8
41,15,11
42,14,3
43,6,10
44,8,16
45,15,15
46,15,9
47,10,7
48,16,17
49,2,16
50,1,12
51,0,13
52,13,13
53,16,7
54,4,1
55,4,16
56,14,11
57,5,5
58,14,9
59,6,13
60,11,13
61,1,17
62,5,13
63,9,1
64,1,10
65,2,6
66,5,1
67,17,2
68,4,17
69,16,1
70,14,8
71,12,15
72,11,11
73,15,14
74,10,0
75,13,8
76,1,2
77,10,5
78,6,2
79,11,4
80,11,7
81,14,2
82,5,4
83,11,15
84,5,8
85,8,3
86,5,3
87,13,5
88,14,3
89,16,17
90,5,17
91,17,1
92,11,2
93,12,9
94,4,12
95,0,6
96,7,4
97,6,6
98,3,15
99,9,10
100,9,3
101,2,5
102,8,12
103,15,11
104,17,7
105,16,2
106,0,5
107,17,1
108,15,12
109,0,7
110,11,8
111,9,14
112,16,2
113,3,4
114,15,14
115,12,5
116,15,7
117,5,2
118,17,2
119,15,3
120,3,17
121,4,5
122,17,0
123,6,14
124,8,15
125,14,5
126,10,4
127,17,9
128,2,4
129,7,13
130,5,5
131,0,14
132,14,1
133,4,6
134,0,3
135,14,2
136,12,17
137,16,10
138,14,9
139,8,0
140,7,13
141,9,10
142,11,1
143,2,17
144,11,2
145,17,13
146,8,17
147,4,15
148,9,1
149,9,14
150,6,9
151,4,1
152,2,9
153,7,12
154,4,14
155,17,3
156,12,6
157,2,13
158,1,12
159,11,10
160,1,11
161,15,14
162,2,2
163,13,4
164,0,3
165,8,13
166,13,16
167,17,13
168,10,2
169,16,12
170,11,13
171,2,9
172,5,17
173,12,5
174,17,17
175,17,15
176,17,2
177,0,15
178,5,9
179,13,2
180,4,14
181,9,10
182,3,11
183,15,14
184,10,13
185,14,8
186,13,11
187,0,7
188,4,17
189,4,4
190,0,11
191,3,14
192,14,2
193,0,15
194,9,1
195,5,11
196,6,14
197,8,16
198,8,15
199,1,5
200,5,3
201,15,5
202,2,1
203,1,5
204,0,5
205,5,13
206,0,16
207,7,5
208,11,15
209,7,2
210,9,12
211,10,0
212,1,8
213,16,10
214,13,8
215,6,15
216,1,2
217,11,14
218,11,16
219,16,4
220,5,13
221,6,16
222,10,3
223,8,8
224,4,5
225,15,11
226,8,10
227,8,12
228,10,4
229,6,10
230,4,3
231,8,5
232,10,5
233,6,15
234,14,9
235,7,13
236,1,14
237,12,8
238,2,7
239,6,12
240,5,13
241,2,7
242,13,0
243,16,10
244,16,1
245,10,1
246,8,17
247,5,0
248,7,2
249,7,1
250,1,12
251,16,10
252,5,2
253,0,0
254,9,8
255,1,2
256,14,7
257,5,15
258,11,15
259,2,2
260,2,14
261,8,2
262,4,15
263,5,6
264,3,8
265,3,5
266,15,9
267,1,0
268,3,4
269,11,11
270,11,2
271,4,6
272,8,4
273,1,10
274,7,11
275,7,17
276,13,2
277,12,0
278,13,7
279,4,9
280,17,16
281,14,2
282,10,4
283,13,13
284,11,1
285,13,10
286,11,2
287,12,3
288,15,0
289,3,10
290,1,0
291,13,12
292,4,12
293,8,17
294,13,14
295,16,0
296,17,4
297,17,15
298,7,7
299,8,4
300,7,15
301,6,9
302,17,11
303,11,2
304,1,13
305,7,9
306,7,10
307,17,16
308,2,13
309,12,2
310,11,1
311,11,1
312,3,10
313,9,4
314,9,12
315,16,17
316,3,12
317,7,10
318,0,5
319,14,12
320,0,7
321,13,12
322,14,1
323,16,5
324,6,16
325,1,1
326,5,17
327,14,4
328,17,6
329,2,2
330,0,6
331,14,5
332,8,3
333,8,11
334,9,14
335,3,9
336,7,4
337,8,15
338,7,13
339,11,10
340,13,4
341,7,2
342,16,2
343,4,10
344,7,17
345,13,12
346,12,0
347,16,12
348,8,1
349,2,1
350,11,15
351,13,3
352,13,0
353,11,15
354,3,6
355,1,1
356,14,12
357,9,14
358,13,0
359,16,10
360,15,2
361,9,16
362,1,2
363,1,10
364,1,4
365,10,10
366,4,14
367,15,11
368,6,8
369,3,10
370,17,15
371,1,15
372,17,3
373,11,17
374,16,6
375,1,6
376,11,11
377,2,4
378,3,3
379,12,1
380,9,2
381,10,8
382,4,7
383,7,13
384,16,3
385,15,4
386,3,4
387,14,7
388,3,10
389,12,11
390,3,13
391,2,6
392,1,12
393,9,8
394,8,7
395,3,4
396,0,14
397,10,11
398,5,6
399,13,16
400,10,2
401,5,3
402,5,5
403,14,16
404,3,1
405,13,10
406,10,0
407,6,16
408,4,2
409,8,11
410,0,1
411,15,9
412,6,15
413,10,6
414,14,5
415,4,15
416,4,15
417,9,14
418,11,1
419,9,1
420,6,12
421,15,4
422,9,3
423,8,3
424,0,15
425,17,17
426,17,16
427,17,8
428,3,13
429,10,8
430,4,13
431,14,13
432,12,1
433,2,14
434,0,1
435,7,3
436,2,0
437,17,1
438,10,17
439,9,9
440,15,8
441,6,14
442,0,11
443,17,13
444,17,2
445,5,2
446,17,5
447,16,4
448,3,2
449,1,10
450,6,13
451,6,9
452,6,14
453,12,5
454,2,7
455,9,14
456,9,2
457,6,9
458,15,6
459,12,5
460,3,9
461,12,7
462,7,6
463,13,1
464,13,1
465,9,13
466,17,16
467,10,9
468,13,11
469,15,3
470,3,17
471,10,1
472,0,1
473,9,9
474,7,11
475,14,14
476,10,5
477,7,3
478,16,5
479,14,13
480,8,0
481,4,7
482,0,14
483,0,4
