id,ram,cpu
0,33,105
1,122,61
2,6,39
3,64,108
4,76,37
5,36,67
6,96,33
7,111,109
8,33,62
9,66,78
10,54,119
11,104,93
12,28,125
13,106,114
14,78,93
15,107,3
16,89,11
17,95,16
18,123,92
19,79,29
20,100,52
21,39,96
22,60,88
23,1,95
24,74,100
25,30,29
26,69,42
27,116,54
28,124,19
29,89,127
30,53,116
31,95,112
32,32,109
33,112,49
34,106,32
35,32,7
36,59,99
37,52,126
38,85,101
39,122,14
40,94,57
41,123,84
42,81,28
43,42,109
44,38,104
45,27,88
46,42,108
47,28,102
48,112,64
49,75,43
50,55,15
51,39,95
52,18,29
53,63,42
54,16,32
55,37,3
56,82,92
57,62,96
58,112,79
59,57,8
60,67,112
61,49,17
62,111,29
63,25,85
64,97,52
65,31,110
66,26,84
67,122,19
68,117,11
69,100,90
70,122,46
71,62,78
72,86,77
73,110,3
74,80,67
75,60,11
76,11,30
77,78,49
78,61,114
79,89,105
80,16,41
81,103,115
82,99,109
83,14,20
84,120,119
85,26,40
86,114,123
87,39,42
88,40,73
89,49,20
90,42,100
91,122,101
92,33,30
93,20,54
94,8,121
95,68,6
96,103,93
97,25,113
98,55,64
99,22,39
100,96,56
101,61,31
102,111,55
103,22,80
104,54,111
105,105,25
106,109,22
107,86,1
108,107,6
109,37,41
110,65,74
111,63,32
112,29,40
113,61,48
114,48,79
115,98,36
116,89,14
117,89,98
118,101,70
119,114,98
120,32,103
121,33,51
122,56,79
123,87,117
124,94,53
125,126,125
126,85,118
127,62,87
128,12,60
129,14,37
130,29,2
131,124,42
132,50,71
133,4,127
134,85,41
135,69,100
136,1,93
137,3,107
138,105,70
139,25,19
140,111,96
141,41,97
142,77,59
143,68,64
144,55,40
145,90,5
146,6,121
147,30,99
148,7,121
149,116,37
150,124,39
151,101,109
152,79,3
153,81,115
154,44,96
155,62,28
156,14,123
157,60,103
158,91,110
159,58,63
160,45,34
161,65,123
162,118,66
163,16,4
164,63,77
165,57,14
166,62,38
167,82,46
168,14,106
169,118,7
170,25,67
171,57,28
172,22,124
173,66,35
174,99,59
175,97,66
176,44,33
177,35,110
178,89,78
179,5,5
180,91,78
181,18,50
182,87,42
183,63,6
184,24,27
185,21,119
186,9,102
187,102,13
188,15,29
189,24,95
190,69,60
191,74,84
192,114,78
193,115,71
194,63,4
195,26,79
196,69,60
197,59,109
198,1,45
199,95,97
200,74,27
201,67,56
202,8,49
203,90,66
204,90,122
205,53,78
206,28,85
207,53,59
208,104,19
209,57,126
210,113,104
211,25,92
212,62,75
213,26,114
214,3,35
215,114,124
216,16,96
217,34,73
218,20,58
219,107,21
220,119,82
221,9,12
222,19,108
223,0,23
224,23,118
225,48,96
226,67,22
227,35,20
228,58,84
229,101,71
230,109,36
231,40,37
232,34,41
233,101,63
234,57,104
235,63,104
236,57,0
237,62,51
238,0,119
239,111,124
240,24,67
241,98,77
242,5,28
243,31,73
244,109,12
245,63,123
246,108,89
247,104,100
248,107,50
249,122,72
250,13,24
251,85,8
252,28,92
253,40,9
254,55,0
255,20,111
256,14,50
257,34,5
258,45,106
259,84,79
260,68,42
261,20,115
262,45,27
263,37,44
264,20,18
265,32,49
266,60,99
267,125,11
268,115,30
269,26,103
270,73,120
271,64,121
272,91,117
273,15,101
274,105,91
275,31,77
276,14,83
277,8,9
278,13,104
279,59,83
280,25,53
281,10,68
282,87,28
283,53,103
284,55,98
285,54,63
286,64,54
287,25,11
288,12,17
289,38,105
290,18,98
291,36,37
292,74,47
293,15,37
294,82,37
295,93,121
296,12,33
297,22,96
298,58,110
299,94,34
300,86,98
301,63,116
