id,ram,cpu
0,17,22
1,34,84
2,45,26
3,34,11
4,79,35
5,12,68
6,7,29
7,92,36
8,47,10
9,29,21
10,5,81
11,19,4
12,3,61
13,86,67
14,5,1
15,41,54
16,56,85
17,13,54
18,81,69
19,17,41
20,76,46
21,87,92
22,30,77
23,48,46
24,15,9
25,56,95
26,90,37
27,82,6
28,16,89
29,5,45
30,77,84
31,80,66
32,42,43
33,45,40
34,70,37
35,49,50
36,48,54
37,28,86
38,60,32
39,49,26
40,72,53
41,31,30
42,36,9
43,90,67
44,41,80
45,87,35
46,87,15
47,58,86
48,61,77
49,37,65
50,71,7
51,0,3
52,43,83
53,47,86
54,77,37
55,42,30
56,20,62
57,70,69
58,67,11
59,66,17
60,59,30
61,21,37
62,9,27
63,30,97
64,19,51
65,0,6
66,26,80
67,27,92
68,69,54
69,58,32
70,57,62
71,30,70
72,29,81
73,64,60
74,82,74
75,36,65
76,87,3
77,86,88
78,54,78
79,32,37
80,72,79
81,42,43
82,59,21
83,8,18
84,8,94
85,65,19
86,66,97
87,63,21
88,74,72
89,87,14
90,90,31
91,41,16
92,70,20
93,72,71
94,57,90
95,92,51
96,8,57
97,20,43
98,79,69
99,72,0
100,37,49
101,91,49
102,68,15
103,38,6
104,61,1
105,62,76
106,49,88
107,7,18
108,51,81
109,29,12
110,68,35
111,97,13
112,71,86
113,88,21
114,16,64
115,27,30
116,87,81
117,59,36
118,27,32
119,77,80
120,54,58
121,14,97
122,44,19
123,37,86
124,62,61
125,95,24
126,27,74
127,10,70
128,44,67
129,10,35
130,42,8
131,7,50
132,25,24
133,47,77
134,18,61
135,28,59
136,8,90
137,75,74
138,26,89
139,60,28
140,93,73
141,92,78
142,38,92
143,9,78
144,19,32
145,15,0
146,14,43
147,60,61
148,47,22
149,53,75
150,21,59
151,50,79
152,16,47
153,79,33
154,16,3
155,13,30
156,80,93
157,26,24
158,45,93
159,37,90
160,48,17
161,96,3
162,47,77
163,4,89
164,33,62
165,32,93
166,49,94
167,65,1
168,25,83
169,45,67
170,80,42
171,77,57
172,19,87
173,73,5
174,35,76
175,80,83
176,10,77
177,25,55
178,39,22
179,18,12
180,87,37
181,2,15
182,88,45
183,18,39
184,1,76
185,39,46
186,94,71
187,13,71
188,77,81
189,50,56
190,11,74
191,83,91
192,22,74
193,50,0
194,34,61
195,71,53
196,85,70
197,48,18
198,88,44
199,69,25
200,46,21
201,58,81
202,8,87
203,26,58
204,37,48
205,48,28
206,43,66
207,1,60
208,84,24
209,1,78
210,18,30
211,1,80
212,47,34
213,6,88
214,85,38
215,15,68
216,77,30
217,60,75
218,49,46
219,42,44
220,24,79
221,70,51
222,25,7
223,10,52
224,43,55
225,19,11
226,85,21
227,40,4
228,12,26
229,90,8
230,49,46
231,89,10
232,80,79
233,62,92
234,86,96
235,70,94
236,13,49
237,37,16
238,78,75
239,27,51
240,9,27
241,68,8
242,74,21
243,55,20
244,32,73
245,63,9
246,21,52
247,54,16
248,39,44
249,89,14
250,38,49
251,18,84
252,47,65
253,78,15
254,86,62
255,72,2
256,66,51
257,52,60
258,50,48
259,43,1
260,72,83
261,2,36
262,58,64
263,29,0
264,6,42
265,9,6
266,86,43
267,23,65
268,16,58
269,68,58
270,93,67
271,56,40
272,56,61
273,48,15
274,2,83
275,51,47
276,2,45
277,93,66
278,19,14
279,12,30
280,80,85
281,25,16
282,60,91
283,81,94
284,58,60
285,64,97
286,5,59
287,45,91
288,13,20
289,29,12
290,81,91
291,39,4
292,64,78
293,6,84
294,7,74
295,6,30
296,35,62
297,21,76
298,61,25
299,52,82
300,72,55
301,29,30
302,54,80
303,79,35
304,31,35
305,43,45
306,58,3
307,60,94
308,45,37
309,2,2
310,79,38
311,28,16
312,81,87
313,5,83
314,81,80
315,92,76
316,46,54
317,78,50
318,3,24
319,84,23
320,97,19
321,40,18
322,55,31
323,18,45
324,20,51
325,39,79
326,86,74
327,19,37
328,63,16
329,47,57
330,16,2
331,23,44
332,78,37
333,7,23
334,48,80
335,4,48
336,23,61
337,12,80
338,35,68
339,14,37
340,67,25
341,3,47
342,61,44
343,17,52
344,83,13
345,90,97
346,61,1
347,59,48
348,68,29
349,16,86
350,48,0
351,44,32
352,30,57
353,11,52
354,33,56
355,28,28
356,12,20
357,63,82
358,70,27
359,65,7
360,84,0
361,38,60
362,78,34
363,20,97
364,53,85
365,61,24
366,15,76
367,9,87
368,7,57
369,84,35
370,36,96
371,6,3
372,46,16
373,58,56
374,31,43
375,94,44
376,84,39
377,41,30
378,13,89
379,78,77
380,29,15
381,32,53
382,51,79
383,58,7
384,9,3
385,27,22
386,22,39
387,7,37
388,5,74
389,36,57
390,34,2
391,41,66
392,16,67
393,14,85
394,0,79
395,86,90
396,5,67
397,20,56
398,51,45
399,44,69
400,30,40
401,61,51
402,18,49
403,41,70
404,57,97
405,31,76
406,87,22
407,43,39
408,84,16
409,56,65
410,49,19
411,2,68
412,68,90
413,74,36
414,53,69
415,92,22
416,94,33
417,94,81
418,45,2
419,27,78
420,2,78
421,43,84
422,41,92
423,44,80
424,56,82
425,36,32
426,34,12
427,58,87
428,63,13
429,51,13
430,79,84
431,22,49
432,46,30
433,50,95
434,37,25
435,93,66
436,22,66
437,74,17
438,31,96
439,90,41
440,31,15
441,44,70
442,91,79
443,56,53
444,32,94
445,62,96
446,66,61
447,57,31
448,37,65
449,63,54
450,88,15
451,20,82
452,16,72
453,74,39
454,21,46
455,20,38
456,21,35
457,74,4
458,93,22
459,21,20
460,87,20
461,47,16
462,85,24
463,36,43
464,77,87
465,84,71
466,58,61
467,30,9
468,46,20
469,71,34
470,18,82
471,41,27
472,8,40
473,73,84
474,68,12
475,39,77
476,42,92
477,95,49
478,29,52
479,93,59
480,53,92
481,45,27
482,39,53
483,61,84
484,18,93
485,68,67
486,3,18
487,57,36
488,25,29
489,37,33
490,97,72
491,56,10
492,70,28
493,56,28
494,71,78
495,43,56
496,64,29
497,61,14
498,56,35
499,57,0
500,35,56
501,87,26
502,65,45
503,93,48
504,96,36
505,56,81
506,10,3
507,85,9
508,36,54
509,75,60
510,40,30
511,75,9
512,27,34
513,84,84
514,69,66
515,97,21
516,65,97
517,56,78
518,70,95
519,36,50
520,4,97
521,25,62
522,33,47
523,27,31
524,11,48
525,1,30
526,12,45
527,86,17
528,27,61
529,80,54
530,11,25
531,21,68
532,93,72
533,7,30
534,26,15
535,83,36
536,32,50
537,32,29
538,89,85
539,89,6
540,44,73
541,76,44
542,81,45
543,57,60
544,2,23
545,25,32
546,4,86
547,22,31
548,73,64
549,66,84
550,34,76
551,60,79
552,39,79
553,25,88
554,18,19
555,82,91
556,81,9
557,53,17
558,7,22
559,37,45
560,71,0
561,23,69
562,76,89
563,2,93
564,60,45
565,40,66
566,7,45
567,29,3
568,8,10
569,38,72
570,47,55
571,96,60
572,53,56
573,19,52
574,38,35
575,74,48
576,45,32
577,21,5
578,12,83
579,74,72
580,30,12
581,36,7
582,87,44
583,72,6
584,17,66
585,24,90
586,18,18
587,4,46
588,74,4
589,40,35
590,91,22
591,72,81
592,89,12
593,90,85
